i,"{'k': 0.22985036151574528, 'b': 0.7701496384842547}"
ib,"{'c': 2.446876097324279e-05, 'f': 0.9999755312390267}"
ibc,"{'c': 0.5774240917873282, 'f': 0.4225759082126717}"
ibf,"{'c': 9.087550670600618e-06, 'f': 0.9999909124493294}"
ik,"{'k': 0.9999391029662413, 'b': 6.089703375877628e-05}"
ikb,"{'c': 0.5, 'f': 0.5}"
ikbc,"{'c': 0.5, 'f': 0.5}"
ikbf,"{'c': 0.5, 'f': 0.5}"
ikk,"{'k': 0.9998558756220124, 'b': 0.0001441243779875332}"
ikkb,"{'c': 0.4835683004675462, 'f': 0.5164316995324538}"
ikkbc,"{'c': 0.8907711577465165, 'f': 0.10922884225348359}"
ikkbf,"{'c': 0.8977219917786333, 'f': 0.10227800822136683}"
