i,"{'k': 0.999998633813844, 'b': 1.3661861558794923e-06}"
ib,"{'c': 0.2925459739750173, 'f': 0.7074540260249826}"
ibc,"{'c': 0.4533168761834482, 'f': 0.5466831238165517}"
ibf,"{'c': 0.04325444282497825, 'f': 0.9567455571750217}"
ik,"{'k': 0.9999996432143885, 'b': 3.5678561145980794e-07}"
ikb,"{'c': 0.11717422406658344, 'f': 0.8828257759334166}"
ikbc,"{'c': 0.5, 'f': 0.5}"
ikbf,"{'c': 0.5, 'f': 0.5}"
ikk,"{'k': 0.9999998018224224, 'b': 1.9817757751050767e-07}"
ikkb,"{'c': 0.5022191298605094, 'f': 0.4977808701394905}"
ikkbc,"{'c': 0.8949897203588515, 'f': 0.10501027964114848}"
ikkbf,"{'c': 0.8936881788261801, 'f': 0.10631182117381979}"
